Time;LVPDUStatus;LVPDUVoltage
0;0;0,016785
1;0;0,016786
2;0;0,016787
3;0;0,016788
4;0;0,016789
5;0;0,016790
6;0;0,016791
7;0;0,016792
8;0;0,016793
9;0;0,016794
10;0;0,016795
11;0;0,016796
12;0;0,016797
13;0;0,016798
14;0;0,016799
15;0;0,016800
16;0;0,016801
17;0;0,016802
18;0;0,016803
19;0;0,016804
20;0;0,016805
21;0;0,016806
22;0;0,016807
23;0;0,016808
24;0;0,016809
25;0;0,016810
26;0;0,016811
27;0;0,016812
28;0;0,016813
29;0;0,016814
30;0;0,016815
31;0;0,016816
32;0;0,016817
33;0;0,016818
34;0;0,016819
35;0;0,016820
36;0;0,016821
37;0;0,016822
38;0;0,016823
39;0;0,016824
40;0;0,016825
41;0;0,016826
42;0;0,016827
43;0;0,016828
44;0;0,016829
45;0;0,016830
46;0;0,016831
47;0;0,016832
48;0;0,016833
49;0;0,016834
50;0;0,016835
51;0;0,016836
52;0;0,016837
53;0;0,016838
54;0;0,016839
55;0;0,016840
56;0;0,016841
57;0;0,016842
58;0;0,016843
59;0;0,016844
60;0;0,016845
61;0;0,016846
62;0;0,016847
63;0;0,016848
64;0;0,016849
65;0;0,016850
66;0;0,016851
67;0;0,016852
68;0;0,016853
69;0;0,016854
70;0;0,016855
71;0;0,016856
72;0;0,016857
73;0;0,016858
74;0;0,016859
75;0;0,016860
76;0;0,016861
77;0;0,016862
78;0;0,016863
79;0;0,016864
80;0;0,016865
81;0;0,016866
82;0;0,016867
83;0;0,016868
84;0;0,016869
85;0;0,016870
86;0;0,016871
87;0;0,016872
88;0;0,016873
89;0;0,016874
90;0;0,016875
91;0;0,016876
92;0;0,016877
93;0;0,016878
94;0;0,016879
95;0;0,016880
96;0;0,016881
97;0;0,016882
98;0;0,016883
99;0;0,016884
100;0;0,016885
101;0;0,016886
102;0;0,016887
103;0;0,016888
104;0;0,016889
105;0;0,016890
106;0;0,016891
107;0;0,016892
108;0;0,016893
109;0;0,016894
110;0;0,016895
111;0;0,016896
112;0;0,016897
113;0;0,016898
114;0;0,016899
115;0;0,016900
116;0;0,016901
117;0;0,016902
118;0;0,016903
119;0;0,016904
120;0;0,016905
121;0;0,016906
122;0;0,016907
123;0;0,016908
124;0;0,016909
125;0;0,016910
126;0;0,016911
127;0;0,016912
128;0;0,016913
129;0;0,016914
130;0;0,016915
131;0;0,016916
132;0;0,016917
133;0;0,016918
134;0;0,016919
135;0;0,016920
136;0;0,016921
137;0;0,016922
138;0;0,016923
139;0;0,016924
140;0;0,016925
141;0;0,016926
142;0;0,016927
143;0;0,016928
144;0;0,016929
145;0;0,016930
146;0;0,016931
147;0;0,016932
148;0;0,016933
149;0;0,016934
150;0;0,016935
151;0;0,016936
152;0;0,016937
153;0;0,016938
154;0;0,016939
155;0;0,016940
156;0;0,016941
157;0;0,016942
158;0;0,016943
159;0;0,016944
160;0;0,016945
161;0;0,016946
162;0;0,016947
163;0;0,016948
164;0;0,016949
165;0;0,016950
166;0;0,016951
167;0;0,016952
168;0;0,016953
169;0;0,016954
170;0;0,016955
171;0;0,016956
172;0;0,016957
173;0;0,016958
174;0;0,016959
175;0;0,016960
176;0;0,016961
177;0;0,016962
178;0;0,016963
179;0;0,016964
180;0;0,016965
181;0;0,016966
182;0;0,016967
183;0;0,016968
184;0;0,016969
185;0;0,016970
186;0;0,016971
187;0;0,016972
188;0;0,016973
189;0;0,016974
190;0;0,016975
191;0;0,016976
192;0;0,016977
193;0;0,016978
194;0;0,016979
195;0;0,016980
196;0;0,016981
197;0;0,016982
198;0;0,016983
199;0;0,016984
200;0;0,016985
201;0;0,016986
202;0;0,016987
203;0;0,016988
204;0;0,016989
205;0;0,016990
206;0;0,016991
207;0;0,016992
208;0;0,016993
209;0;0,016994
210;0;0,016995
211;0;0,016996
212;0;0,016997
213;0;0,016998
215;0;0,017000
216;0;0,017001
217;0;0,017002
218;0;0,017003
219;0;0,017004
220;0;0,017005
221;0;0,017006
222;0;0,017007
223;0;0,017008
224;0;0,017009
225;0;0,017010
226;0;0,017011
227;0;0,017012
228;0;0,017013
229;0;0,017014
230;0;0,017015
231;0;0,017016
232;0;0,017017
233;0;0,017018
234;0;0,017019
235;0;0,017020
236;0;0,017021
237;0;0,017022
238;0;0,017023
239;0;0,017024
240;0;0,017025
241;0;0,017026
242;0;0,017027
243;0;0,017028
244;0;0,017029
245;0;0,017030
246;0;0,017031
247;0;0,017032
248;0;0,017033
249;0;0,017034
250;0;0,017035
251;0;0,017036
252;0;0,017037
253;0;0,017038
254;0;0,017039
255;0;0,017040
256;0;0,017041
257;0;0,017042
258;0;0,017043
259;0;0,017044
260;0;0,017045
261;0;0,017046
262;0;0,017047
263;0;0,017048
264;0;0,017049
265;0;0,017050
266;0;0,017051
267;0;0,017052
268;0;0,017053
269;0;0,017054
270;0;0,017055
271;0;0,017056
272;0;0,017057
273;0;0,017058
274;0;0,017059
275;0;0,017060
276;0;0,017061
277;0;0,017062
278;0;0,017063
279;0;0,017064
280;0;0,017065
281;0;0,017066
282;0;0,017067
283;0;0,017068
284;0;0,017069
285;0;0,017070
286;0;0,017071
287;0;0,017072
288;0;0,017073
289;0;0,017074
290;0;0,017075
291;0;0,017076
292;0;0,017077
293;0;0,017078
294;0;0,017079
295;0;0,017080
296;0;0,017081
297;0;0,017082
298;0;0,017083
299;0;0,017084
300;0;0,017085
301;0;0,017086
302;0;0,017087
303;0;0,017088
304;0;0,017089
305;0;0,017090
306;0;0,017091
307;0;0,017092
308;0;0,017093
309;0;0,017094
310;0;0,017095
311;0;0,017096
312;0;0,017097
313;0;0,017098
314;0;0,017099
315;0;0,017100
316;0;0,017101
317;0;0,017102
318;0;0,017103
319;0;0,017104
320;0;0,017105
321;0;0,017106
322;0;0,017107
323;0;0,017108
324;0;0,017109
325;0;0,017110
326;0;0,017111
327;0;0,017112
328;0;0,017113
329;0;0,017114
330;0;0,017115
331;0;0,017116
332;0;0,017117
333;0;0,017118
334;0;0,017119
335;0;0,017120
336;0;0,017121
337;0;0,017122
338;0;0,017123
339;0;0,017124
340;0;0,017125
341;0;0,017126
342;0;0,017127
343;0;0,017128
344;0;0,017129
345;0;0,017130
346;0;0,017131
347;0;0,017132
348;0;0,017133
349;0;0,017134
350;0;0,017135
351;0;0,017136
352;0;0,017137
353;0;0,017138
354;0;0,017139
355;0;0,017140
356;0;0,017141
357;0;0,017142
358;0;0,017143
359;0;0,017144
360;0;0,017145
361;0;0,017146
362;0;0,017147
363;0;0,017148
364;0;0,017149
365;0;0,017150
366;0;0,017151
367;0;0,017152
368;0;0,017153
369;0;0,017154
370;0;0,017155
371;0;0,017156
372;0;0,017157
373;0;0,017158
374;0;0,017159
375;0;0,017160
376;0;0,017161
377;0;0,017162
378;0;0,017163
379;0;0,017164
380;0;0,017165
381;0;0,017166
382;0;0,017167
383;0;0,017168
384;0;0,017169
385;0;0,017170
386;0;0,017171
387;0;0,017172
388;0;0,017173
389;0;0,017174
390;0;0,017175
391;0;0,017176
392;0;0,017177
393;0;0,017178
394;0;0,017179
395;0;0,017180
396;0;0,017181
397;0;0,017182
398;0;0,017183
399;0;0,017184
400;0;0,017185
401;0;0,017186
402;0;0,017187
403;0;0,017188
404;0;0,017189
405;0;0,017190
406;0;0,017191
407;0;0,017192
408;0;0,017193
409;0;0,017194
410;0;0,017195
411;0;0,017196
412;0;0,017197
413;0;0,017198
414;0;0,017199
415;0;0,017200
416;0;0,017201
417;0;0,017202
418;0;0,017203
419;0;0,017204
420;0;0,017205
421;0;0,017206
422;0;0,017207
423;0;0,017208
424;0;0,017209
425;0;0,017210
426;0;0,017211
427;0;0,017212
428;0;0,017213
429;0;0,017214
430;0;0,017215
431;0;0,017216
432;0;0,017217
433;0;0,017218
434;0;0,017219
435;0;0,017220
436;0;0,017221
437;0;0,017222
438;0;0,017223
439;0;0,017224
440;0;0,017225
441;0;0,017226
442;0;0,017227
443;0;0,017228
444;0;0,017229
445;0;0,017230
446;0;0,017231
447;0;0,017232
448;0;0,017233
449;0;0,017234
450;0;0,017235
451;0;0,017236
452;0;0,017237
453;0;0,017238
454;0;0,017239
455;0;0,017240
456;0;0,017241
457;0;0,017242
458;0;0,017243
459;0;0,017244
460;0;0,017245
461;0;0,017246
462;0;0,017247
463;0;0,017248
464;0;0,017249
465;0;0,017250
466;0;0,017251
467;0;0,017252
468;0;0,017253
469;0;0,017254
470;0;0,017255
471;0;0,017256
472;0;0,017257
473;0;0,017258
474;0;0,017259
475;0;0,017260
476;0;0,017261
477;0;0,017262
478;0;0,017263
479;0;0,017264
480;0;0,017265
481;0;0,017266
482;0;0,017267
483;0;0,017268
484;0;0,017269
485;0;0,017270
486;0;0,017271
487;0;0,017272
488;0;0,017273
489;0;0,017274
490;0;0,017275
491;0;0,017276
492;0;0,017277
493;0;0,017278
494;0;0,017279
495;0;0,017280
496;0;0,017281
497;0;0,017282
498;0;0,017283
499;0;0,017284
500;1;0,017285
